Gateway 0 Arrival Rate	Pure Cloud Average Effective Arrival rate of 0	Next Hop Average Effective Arrival rate of 0	Probabilistic DF Average Effective Arrival rate of 0	Pure Cloud Average Effective Arrival rate of 1	Next Hop Average Effective Arrival rate of 1	Probabilistic DF Average Effective Arrival rate of 1	Pure Cloud Average Effective Arrival rate of 2	Next Hop Average Effective Arrival rate of 2	Probabilistic DF Average Effective Arrival rate of 2	Pure Cloud Average Effective Arrival rate of Cloud	Next Hop Average Effective Arrival rate of Cloud	Probabilistic DF Average Effective Arrival rate of Cloud
0.0	0.0	0.25	0.25	0.0	201.05	200.75	0.0	394.55	398.35	594.6	0.25	0.25
50.0	0.0	52.1	49.5	0.0	198.8	199.0	0.0	394.85	388.2	642.7	0.25	0.25
100.0	0.0	101.1	102.85	0.0	203.0	196.7	0.0	395.85	395.4	699.5	0.25	0.25
150.0	0.0	152.7	153.75	0.0	197.55	199.9	0.0	399.55	387.25	756.1	0.25	0.25
200.0	0.0	198.2	199.0	0.0	200.2	203.65	0.0	401.8	393.25	805.85	0.25	0.25
250.0	0.0	250.1	258.05	0.0	197.3	199.6	0.0	398.45	408.9	859.4	0.25	0.25
300.0	0.0	305.0	301.95	0.0	196.95	202.25	0.0	392.85	390.15	901.65	0.3	0.45
350.0	0.0	342.5	346.35	0.0	199.3	207.05	0.0	390.8	399.45	964.45	1.65	0.7
400.0	0.0	387.65	380.55	0.0	202.95	211.05	0.0	405.45	402.85	1012.75	13.4	2.55
450.0	0.0	397.05	401.9	0.0	204.35	226.1	0.0	397.45	425.8	1045.95	39.4	6.65
500.0	0.0	394.5	403.35	0.0	203.25	238.1	0.0	398.0	439.6	1081.7	106.0	10.45
550.0	0.0	400.35	402.05	0.0	201.8	263.7	0.0	401.25	459.65	1139.55	142.9	16.8
600.0	0.0	398.9	396.65	0.0	196.45	286.9	0.0	397.05	491.0	1202.45	202.05	24.65
650.0	0.0	399.65	403.65	0.0	202.55	310.0	0.0	405.35	509.65	1253.6	255.0	27.95
700.0	0.0	409.05	396.1	0.0	199.0	322.15	0.0	391.8	527.95	1280.0	296.4	36.2
750.0	0.0	407.0	406.0	0.0	202.75	340.75	0.0	400.55	549.85	1348.05	336.35	37.55
800.0	0.0	412.0	412.55	0.0	207.15	359.0	0.0	403.5	569.1	1392.3	382.4	41.55
850.0	0.0	401.6	399.3	0.0	195.05	373.35	0.0	398.05	590.5	1448.75	443.65	50.2
900.0	0.0	409.2	407.15	0.0	202.75	383.0	0.0	397.45	617.9	1492.5	488.75	53.1
950.0	0.0	404.0	400.45	0.0	200.25	387.65	0.0	392.9	647.45	1539.9	542.6	64.35
1000.0	0.0	401.45	405.95	0.0	204.9	397.65	0.0	402.3	662.65	1595.35	585.95	66.8
1050.0	0.0	411.2	404.75	0.0	204.35	398.75	0.0	395.15	681.8	1636.25	620.6	73.05
1100.0	0.0	403.15	404.05	0.0	197.65	403.35	0.0	396.65	706.2	1697.55	687.9	78.85
1150.0	0.0	411.75	398.95	0.0	205.2	402.6	0.0	395.55	734.0	1736.85	729.6	81.55
1200.0	0.0	400.15	406.35	0.0	197.2	397.25	0.0	392.3	743.75	1781.4	788.1	89.5
1250.0	0.0	405.35	406.85	0.0	193.65	402.6	0.0	399.45	769.3	1831.95	821.9	96.05
1300.0	0.0	407.35	408.0	0.0	196.95	403.6	0.0	392.5	799.3	1867.0	878.3	99.6
1350.0	0.0	394.85	406.9	0.0	198.95	396.1	0.0	401.5	805.1	1928.15	939.45	103.55
1400.0	0.0	403.8	399.7	0.0	199.65	401.7	0.0	406.15	860.4	1998.7	981.2	116.25
1450.0	0.0	405.0	398.5	0.0	201.0	403.5	0.0	398.75	863.3	2043.5	1018.1	117.7
1500.0	0.0	408.6	402.6	0.0	202.65	405.05	0.0	389.8	884.0	2080.1	1070.4	117.55
1550.0	0.0	401.4	397.95	0.0	201.5	410.0	0.0	401.9	911.05	2130.45	1118.6	131.55
1600.0	0.0	407.1	406.75	0.0	205.7	404.7	0.0	397.6	929.85	2173.6	1183.7	131.8
1650.0	0.0	402.05	407.55	0.0	201.05	394.25	0.0	398.0	957.7	2221.15	1218.1	138.9
1700.0	0.0	398.45	403.05	0.0	196.35	391.75	0.0	398.05	987.0	2257.75	1282.9	143.55
1750.0	0.0	403.6	410.2	0.0	199.5	402.8	0.0	402.0	989.75	2309.85	1307.35	147.7
1800.0	0.0	404.35	395.15	0.0	200.25	400.55	0.0	394.3	1023.65	2370.2	1366.35	157.5
1850.0	0.0	406.7	405.3	0.0	200.75	400.75	0.0	395.85	1033.5	2409.0	1411.75	158.95
1900.0	0.0	399.9	396.65	0.0	200.85	408.1	0.0	397.0	1061.55	2484.85	1450.8	170.0
1950.0	0.0	406.4	401.65	0.0	207.25	406.6	0.0	391.3	1078.5	2498.75	1496.25	168.7
2000.0	0.0	407.6	403.6	0.0	205.65	402.95	0.0	407.0	1090.2	2549.45	1551.65	173.152050.0	0.0	407.95	406.575	0.0	199.75	401.175	0.0	401.4	1132.075	2605.85	1603.3	182.95
2100.0	0.0	407.25	400.65	0.0	200.475	404.425	0.0	403.375	1147.925	2649.75	1639.325	190.15
2150.0	0.0	407.125	403.425	0.0	200.875	404.875	0.0	399.525	1166.225	2696.925	1692.8	193.1
2200.0	0.0	407.8	404.625	0.0	198.975	404.45	0.0	395.675	1181.525	2747.8	1755.1	201.85
2250.0	0.0	401.85	408.2	0.0	198.6	401.025	0.0	401.2	1212.125	2796.25	1798.975	204.25
2300.0	0.0	406.675	407.9	0.0	202.175	408.575	0.0	397.375	1236.975	2847.525	1841.925	207.9
2350.0	0.0	406.075	402.475	0.0	201.95	398.625	0.0	398.45	1252.6	2891.675	1889.7	214.275
2400.0	0.0	407.05	403.25	0.0	201.75	402.125	0.0	399.625	1267.3	2945.35	1932.7	219.75
2450.0	0.0	402.775	399.325	0.0	199.375	403.775	0.0	398.675	1302.6	2986.325	1984.15	223.9
2500.0	0.0	401.175	403.1	0.0	197.35	402.325	0.0	396.525	1311.75	3039.7	2034.275	230.875
2550.0	0.0	402.5	409.25	0.0	201.3	404.975	0.0	400.725	1331.3	3088.45	2078.7	231.55
2600.0	0.0	404.0	404.875	0.0	198.675	399.9	0.0	399.975	1360.925	3132.925	2124.0	241.375
2650.0	0.0	401.15	399.15	0.0	199.675	407.3	0.0	399.95	1378.175	3175.975	2170.875	251.375
2700.0	0.0	406.025	404.175	0.0	199.5	406.55	0.0	399.65	1406.2	3228.4	2217.3	252.95
2750.0	0.0	407.95	404.15	0.0	202.0	403.575	0.0	393.65	1417.9	3267.6	2271.125	258.975
2800.0	0.0	405.1	406.8	0.0	197.725	401.275	0.0	392.175	1445.025	3328.275	2317.375	260.9
2850.0	0.0	405.625	400.45	0.0	202.275	403.725	0.0	394.925	1471.3	3368.65	2363.125	269.1
2900.0	0.0	406.175	404.125	0.0	199.1	401.35	0.0	397.375	1491.175	3418.375	2407.925	270.625
2950.0	0.0	405.95	402.775	0.0	199.0	406.675	0.0	393.1	1489.0	3462.575	2463.375	273.725
3000.0	0.0	406.575	399.225	0.0	202.5	405.475	0.0	401.175	1510.15	3502.725	2501.1	289.725
3050.0	0.0	409.55	404.35	0.0	199.75	402.4	0.0	396.2	1528.375	3565.625	2554.3	288.95
3100.0	0.0	397.3	407.925	0.0	201.725	400.675	0.0	396.05	1537.975	3593.625	2595.45	287.675
3150.0	0.0	404.325	405.775	0.0	203.275	401.1	0.0	401.775	1547.5	3649.2	2662.075	298.925
3200.0	0.0	403.45	403.9	0.0	201.125	405.325	0.0	405.35	1564.225	3708.725	2712.95	305.9
3250.0	0.0	397.75	409.275	0.0	202.55	406.125	0.0	397.35	1582.75	3746.4	2741.05	318.675
