Gateway 0 Arrival Rate	Pure Cloud Offloaded to of 0	Next Hop Offloaded to of 0	Probabilistic DF Offloaded to of 0	Pure Cloud Offloaded to of 1	Next Hop Offloaded to of 1	Probabilistic DF Offloaded to of 1	Pure Cloud Offloaded to of 2	Next Hop Offloaded to of 2	Probabilistic DF Offloaded to of 2	Pure Cloud Offloaded to of Cloud	Next Hop Offloaded to of Cloud	Probabilistic DF Offloaded to of Cloud
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
150.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
250.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
300.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	1.0	0.8	0.22000000000000003
350.0	0.0	0.0	0.0	0.0	0.0	0.28068863049095605	0.0	0.0	0.573467700258398	1.0	1.0	0.145843669250646
400.0	0.0	0.0	0.0	0.0	0.0	0.35234852649640996	0.0	0.0	0.5190735690327568	1.0	1.0	0.12857790447083314
450.0	0.0	0.0	0.0	0.0	0.0	0.40676537848387895	0.0	0.0	0.47602469081313775	1.0	1.0	0.11720993070298327
500.0	0.0	0.0	0.0	0.0	0.0	0.43252598528106645	0.0	0.0	0.4513769623642358	1.0	1.0	0.11609705235469767
550.0	0.0	0.0	0.0	0.0	0.0	0.435093156197199	0.0	0.0	0.4492716724484113	1.0	1.0	0.11563517135438968
600.0	0.0	0.0	0.0	0.0	0.0	0.43517019484085984	0.0	0.0	0.44861781332945494	1.0	1.0	0.1162119918296853
650.0	0.0	0.0	0.0	0.0	0.0	0.4356357975608421	0.0	0.0	0.4485461967831572	1.0	1.0	0.11581800565600076
700.0	0.0	0.0	0.0	0.0	0.0	0.4371068456462335	0.0	0.0	0.4460906402014331	1.0	1.0	0.1168025141523334
750.0	0.0	0.0	0.0	0.0	0.0	0.4383462665439334	0.0	0.0	0.4456179126911038	1.0	1.0	0.11603582076496288
800.0	0.0	0.0	0.0	0.0	0.0	0.4388148620719459	0.0	0.0	0.4457097340344996	1.0	1.0	0.11547540389355457
850.0	0.0	0.0	0.0	0.0	0.0	0.4387874831022461	0.0	0.0	0.4463478131501423	1.0	1.0	0.11486470374761155
900.0	0.0	0.0	0.0	0.0	0.0	0.43824552464385197	0.0	0.0	0.4473797210680612	1.0	1.0	0.11437475428808686
950.0	0.0	0.0	0.0	0.0	0.0	0.4384259492871676	0.0	0.0	0.4471709332612015	1.0	1.0	0.11440311745163087
1000.0	0.0	0.0	0.0	0.0	0.0	0.43731731212428643	0.0	0.0	0.4481762517510994	1.0	1.0	0.11450643612461422
1050.0	0.0	0.0	0.0	0.0	0.0	0.4370428000484349	0.0	0.0	0.4483275104709697	1.0	1.0	0.11462968948059542
1100.0	0.0	0.0	0.0	0.0	0.0	0.43664545738058624	0.0	0.0	0.448995472261983	1.0	1.0	0.11435907035743069
1150.0	0.0	0.0	0.0	0.0	0.0	0.4363720628854718	0.0	0.0	0.4494849204796294	1.0	1.0	0.11414301663489881
1200.0	0.0	0.0	0.0	0.0	0.0	0.4360676662588584	0.0	0.0	0.44990202357823206	1.0	1.0	0.11403031016290968
1250.0	0.0	0.0	0.0	0.0	0.0	0.43562260397323166	0.0	0.0	0.4501610551520317	1.0	1.0	0.11421634087473667
1300.0	0.0	0.0	0.0	0.0	0.0	0.43514726500125533	0.0	0.0	0.45065086750268046	1.0	1.0	0.11420186749606417
1350.0	0.0	0.0	0.0	0.0	0.0	0.4348445604573972	0.0	0.0	0.4508826175916837	1.0	1.0	0.11427282195091912
1400.0	0.0	0.0	0.0	0.0	0.0	0.4333997336750173	0.0	0.0	0.45195735490545685	1.0	1.0	0.11464291141952594
1450.0	0.0	0.0	0.0	0.0	0.0	0.4306597984293262	0.0	0.0	0.45406850729325426	1.0	1.0	0.11527169427741954
1500.0	0.0	0.0	0.0	0.0	0.0	0.4282872282155645	0.0	0.0	0.4560566519688242	1.0	1.0	0.11565611981561133
1550.0	0.0	0.0	0.0	0.0	0.0	0.4253680586336824	0.0	0.0	0.4584235479585949	1.0	1.0	0.11620839340772271
1600.0	0.0	0.0	0.0	0.0	0.0	0.4221629149555895	0.0	0.0	0.46103756237826377	1.0	1.0	0.11679952266614675
1650.0	0.0	0.0	0.0	0.0	0.0	0.41818771604389254	0.0	0.0	0.4642967787215402	1.0	1.0	0.11751550523456733
1700.0	0.0	0.0	0.0	0.0	0.0	0.41370706532582346	0.0	0.0	0.4679961159682925	1.0	1.0	0.11829681870588407
1750.0	0.0	0.0	0.0	0.0	0.0	0.40951300775339944	0.0	0.0	0.47148432526634576	1.0	1.0	0.11900266698025483
1800.0	0.0	0.0	0.0	0.0	0.0	0.40508188091578373	0.0	0.0	0.4750305279748745	1.0	1.0	0.1198875911093418
1850.0	0.0	0.0	0.0	0.0	0.0	0.4006733225008223	0.0	0.0	0.4786259637178364	1.0	1.0	0.12070071378134133
1900.0	0.0	0.0	0.0	0.0	0.0	0.39650223834499665	0.0	0.0	0.481909992352482	1.0	1.0	0.12158776930252142
1950.0	0.0	0.0	0.0	0.0	0.0	0.32167891231409323	0.0	0.0	0.5456138399330064	1.0	1.0	0.13270724775290038
2000.0	0.0	0.0	0.0	0.0	0.0	0.3158344429917522	0.0	0.0	0.549163302659307	1.0	1.0	0.1350022543489408
2050.0	0.0	0.0	0.0	0.0	0.0	0.30406857593376857	0.0	0.0	0.5569416377236582	1.0	1.0	0.13898978634257325
2100.0	0.0	0.0	0.0	0.0	0.0	0.30151377291100484	0.0	0.0	0.5577363306588773	1.0	1.0	0.1407498964301178
2150.0	0.0	0.0	0.0	0.0	0.0	0.29955143928071803	0.0	0.0	0.5599073918050543	1.0	1.0	0.1405411689142277
2200.0	0.0	0.0	0.0	0.0	0.0	0.2974667340311645	0.0	0.0	0.5609449999737214	1.0	1.0	0.14158826599511415
2250.0	0.0	0.0	0.0	0.0	0.0	0.29450225125473606	0.0	0.0	0.5630421930850286	1.0	1.0	0.14245555566023538
2300.0	0.0	0.0	0.0	0.0	0.0	0.29152898813050565	0.0	0.0	0.5657229225387039	1.0	1.0	0.14274808933079017
2350.0	0.0	0.0	0.0	0.0	0.0	0.28878723903456466	0.0	0.0	0.5681468752394584	1.0	1.0	0.14306588572597695
2400.0	0.0	0.0	0.0	0.0	0.0	0.28594082903933715	0.0	0.0	0.5704973054226977	1.0	1.0	0.14356186553796507
2450.0	0.0	0.0	0.0	0.0	0.0	0.2833083508561201	0.0	0.0	0.5727492846421589	1.0	1.0	0.14394236450172088
